Sender,CreationDateTime,RefType RefNumber,RefNumber2,EventType,EventDateTime,SignedBy,Remarks,Damage,Pieces,Lat,Lon,LocCode,LocCountry
ZBOT_DHL.001,2024-09-20T01:22:41-06:00,CN,TCLU3402249,CWBA02766,APT,2024-06-21T16:29:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:22:48-06:00,CN,HLXU8309390,QROA00004,APT,2024-07-11T17:15:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:22:55-06:00,CN,TCLU5242221,QROA00005,APT,2024-08-22T03:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:01-06:00,CN,HLBU2602803,QROA00010,APT,2024-08-22T03:26:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:08-06:00,CN,HLBU1445438,QROA00010,APT,2024-07-29T17:06:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:14-06:00,CN,TCLU7083978,MTYA14543,APT,2024-07-09T08:49:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:21-06:00,CN,GVCU2043190,MTYA14549,APT,2024-05-09T15:39:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:28-06:00,CN,UACU3820232,MTYA14560,APT,2024-08-09T15:59:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:35-06:00,CN,FCIU4519890,MTYA14563,APT,2024-09-02T15:14:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:41-06:00,CN,HLXU5639341,MTYA14646,APT,2024-08-30T21:20:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:48-06:00,CN,TGBU5680185,QROA00009,APT,2024-08-09T13:12:00-06:00,ZBOT_DHL.001,,,1,,,,MX
ZBOT_DHL.001,2024-09-20T01:23:54-06:00,CN,FTAU1275023,QROA00016,APT,2024-05-30T22:17:00-06:00,ZBOT_DHL.001,,,1,,,,MX
